state,value
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
